Fish-SPRICH: a database of freshwater fish species richness across the World   																
Sébastien Brosse, Olivier Beauchard, Simon Blanchet, Hans H. Dürr, Gaël Grenouillet, Bernard Hugueny, Christine Lauzeral, Fabien Leprieur, Pablo A. Tedesco, Sébastien Villéger, Thierry Oberdorff																
																
ESM2. The Fish-SPRICH database.																
																
The information given in the Fish-SPRICH database is organised alphabetically by river basin name. Fish richness and environmental descriptors are listed horizontally. Columns are as follows: 																
" - Basin is the river basin name as found in the literature. When a basin was unnamed, it was identified by the name of the country or of the region followed by "".un""."																
 - TotalR is the total richness, i.e. the total number of freshwater fish species living in the river basin. It accounts for both native and non-native species.																
 - NativeR  is the native richness, i.e. the number of freshwater fish species native to the basin (including endemic species).																
 - Non-nativeR is the non-native (or exotic ) richness, i.e. the number of freshwater fish species introduced into a basin and that have become established (i.e. self-reproducing populations) in the basin. 																
 - EndemicR is the endemic richness, i.e. the number of endemic freshwater fish species in the basin. Endemic species are those inhabiting only one river drainage basin (i.e. single-drainage endemics).																
 - Brealm is the biogeographic realm to which the basin belongs, as described by Leveque et al. (2008) and Balian et al. (2008) during the Freshwater Animal Diversity Assessment project (http://FADA.biodiversity.be).																
  - Latrivermouth and Lonrivermouth are the geographical coordinates (latitude and longitude in decimal degrees) of the river mouth in degrees.																
 - Lonmin, Lonmax, Lonmed, Latmin, Latmax, Latmed are the minimal, maximal and median coordinates (longitude and latitude in decimal degrees) of the river basin.																
 - Minalt, Maxalt are the minimum and maximum altitudes in meters above sea level of the basin. Note that the minimum altitude can differ from zero for endorheic basins.																
  - Area is the total surface area covered by the river basin in square kilometers.																
																
																
Basin	TotalR	NativeR	Non-nativeR	EndemicR	Brealm	Latrivermouth	Lonrivermouth	Lonmin	Lonmax	Latmin	Latmax	Lonmed	Latmed	Minalt	Maxalt	Area
Sakinaw	9	9	0	0	Nearctic	49.66	-124.06	-124.06	-123.95	49.66	49.74	-124.01	49.7	0	1871	62
Salado	46	46	0	1	Neotropical	-35.75	-57.36	-61.55	-57.39	-37.97	-34.07	-59.47	-36.02	0	1176	266223
Salang	4	4	0	0	Oriental	2.88	104.16	104.16	104.17	2.87	2.88	104.17	2.88	0	na	na
Salinas	20	11	9	0	Nearctic	36.75	-121.8	-121.8	-119.92	35.16	36.78	-120.86	35.97	0	568	10983
Saloum	8	8	0	0	Afrotropical	13.86	-16.76	-16.9	-13.93	13.63	14.97	-15.42	14.3	0	45	36288
Saltelva	8	7	1	0	Palearctic	67.11	15.44	14.97	15.94	66.57	67.11	15.46	66.84	0	1220	1171
Salween	154	154	0	20	Oriental	16.51	97.62	91.49	100.18	15.24	32.82	95.84	24.03	0	5495	271914
Samarga	20	20	0	0	Palearctic	47.22	138.79	137.44	138.79	47.21	48.23	138.12	47.72	0	1181	7290
San.Antonio	74	63	11	2	Nearctic	28.42	-96.83	-99.54	-96.78	28.42	29.89	-98.16	29.16	0	499	10619
San.Carlos	1	na	1	0	Neotropical	-51.53	-58.93	-58.93	-58.67	-51.71	-51.5	-58.8	-51.61	0	420	175
San.Diego	31	5	26	0	Nearctic	32.76	-117.22	-117.22	-116.54	32.75	33.1	-116.88	32.93	0	646	1139
San.Ignacio	5	1	4	0	Nearctic	27	-113.16	-113.11	-112.46	27	27.56	-112.79	27.28	0	700	1200
San.Javier	3	1	2	0	Nearctic	25.48	-112.01	-112.01	-111.18	25.24	26	-111.6	25.62	0	750	2700
San.Joaquin	47	17	30	1	Nearctic	38.03	-121.47	-121.6	-118.7	36.39	38.51	-120.15	37.45	0	3502	83409
San.Jose.del.Cabo	10	8	2	0	Nearctic	23.05	-109.68	-109.86	-109.58	23.05	23.42	-109.72	23.24	0	1500	800
San.Juan	156	153	3	16	Neotropical	10.72	-83.58	-86.63	-83.6	10.14	13.26	-85.12	11.7	0	1622	38500
San.Luis.Obispo	19	8	11	0	Nearctic	35.18	-120.74	-120.74	-120.61	35.18	35.27	-120.68	35.23	0	600	165
San.Luis.Rey	18	3	15	0	Nearctic	33.2	-117.39	-117.39	-116.5	33.18	33.39	-116.95	33.29	0	1760	1456
San.Martin	1	1	0	0	Nearctic	26.29	-112.56	-112.56	-112.1	26.29	26.69	-112.33	26.49	0	870	700
San.Pedro.Ivory.Coast	33	33	0	0	Afrotropical	4.73	-6.61	-7.05	-6.5	4.73	5.49	-6.78	5.11	0	136	3310
San.Pedro.Mexico	7	4	3	0	Nearctic	24.45	-111.56	-111.56	-110.79	24.45	25.05	-111.18	24.75	0	600	29358
San.Pedro.Panama	24	24	0	0	Neotropical	7.92	-81.05	-81.2	-80.96	7.92	8.28	-81.08	8.1	0	170	795
Sandy.Creek	20	20	0	0	Australian	-15.24	129.2	129.12	129.37	-15.67	-15.24	129.25	-15.46	0	na	700
Santa.Clara	31	6	25	1	Nearctic	34.23	-119.26	-119.26	-118.04	34.22	34.81	-118.65	34.52	0	1150	4144
Santa.Cruz	10	7	3	0	Neotropical	-49.97	-68.69	-72.85	-69	-50.56	-50	-70.93	-50.28	0	1635	26000
Santa.Inez	22	7	15	0	Nearctic	34.7	-120.6	-120.6	-119.42	34.47	34.76	-120.01	34.62	0	1500	1200
Santa.Margarita	18	4	14	0	Nearctic	33.23	-117.42	-117.42	-116.68	33.23	33.71	-117.05	33.47	0	1430	1896
Santa.Maria.Cal	15	7	8	0	Nearctic	34.97	-120.65	-120.65	-119.54	34.69	35.27	-120.1	34.98	0	2600	4869
Santa.Maria.Pan	22	22	0	0	Neotropical	8.09	-80.49	-81.21	-80.49	7.97	8.59	-80.85	8.28	0	1200	2875
Santee	110	94	16	3	Nearctic	33.13	-79.25	-82.81	-79.25	33.06	36.14	-81.03	34.6	0	1532	39500
Santiago	22	22	0	0	Neotropical	1.22	-79.05	-79.29	-78.37	0.42	1.23	-78.83	0.83	0	1800	1750
Sao.Francisco	212	212	0	73	Neotropical	-10.5	-36.41	-46.35	-36.39	-20.37	-8.38	-41.37	-14.38	0	1219	617814
Sao.Joao	57	57	0	2	Neotropical	-22.6	-41.99	-42.51	-41.99	-22.74	-22.54	-42.25	-22.64	0	1400	2160
Sapgyocheon	64	63	1	1	Palearctic	36.77	126.83	126.69	126.94	36.4	36.77	126.82	36.59	0	977	4960
Sarbaz	7	4	3	0	Oriental	25.19	61.5	60.38	61.93	25.19	27	61.16	26.1	0	1626	16634
Sassandra	74	73	1	1	Afrotropical	4.96	-6.07	-8.75	-5.7	4.95	9.73	-7.23	7.34	0	669	75000
Satilla	57	56	1	0	Nearctic	30.97	-81.5	-83.11	-81.5	30.88	31.83	-82.31	31.36	0	50	9143
Sauce.Grande	9	9	0	0	Neotropical	-39	-61.17	-61.86	-61.16	-39	-38	-61.51	-38.5	0	257.5	1260
Savannah	115	107	8	0	Nearctic	32.03	-80.91	-83.59	-80.9	32.03	35.6	-82.25	33.82	0	1225	27414
Save	39	38	1	0	Afrotropical	-20.96	35.1	29.33	35.1	-21.84	-18.08	32.22	-19.96	0	1505	115000
Savina	3	3	0	0	Palearctic	71.56	55.71	53.83	55.71	71.36	71.89	54.77	71.63	0	350	1480
Savory	1	1	0	0	Australian	-23.36	122.68	120.1	122.66	-23.96	-23.16	121.38	-23.56	na	na	na
Savushkina	5	5	0	0	Palearctic	50.73	156.14	156.11	156.14	50.72	50.74	156.13	50.73	0	na	5
Schelde	42	32	10	0	Palearctic	51.43	3.54	2.14	5.47	50.02	51.43	3.81	50.73	0	na	17100
Scott	7	6	1	0	Australian	-34.27	115.21	115.21	115.53	-34.31	-34.24	115.37	-34.28	0	250	7200
Sebaou	4	4	0	0	Palearctic	36.91	3.84	3.83	4.54	36.47	36.91	4.19	36.69	0	1600	2550
Sebou	6	3	3	0	Palearctic	34.27	-6.66	-6.67	-3.9	33.14	34.97	-5.29	34.06	0	1968	40000
Sefid	60	51	9	0	Palearctic	37.44	49.83	46.5	51.18	35.06	37.9	48.84	36.48	4	2666	67000
Segama	69	68	1	7	Oriental	5.45	118.8	117.5	118.8	4.73	5.45	118.15	5.09	0	322	721
Segura	28	16	12	0	Palearctic	38.11	-0.64	-2.7	-0.64	37.58	38.61	-1.67	38.1	0	1181	15803
Seine	46	28	18	0	Palearctic	49.45	0.38	0.57	5.5	46.98	49.95	3.04	48.47	0	510	73000
Senegal	128	127	1	2	Afrotropical	16.05	-16.49	-16.48	-6.34	10.4	19.18	-11.41	14.79	0	730	419575
Sepik	61	54	7	0	Australian	-3.86	144.53	140.7	145	-5.82	-3.14	142.85	-4.48	0	2745	80321
Serebryannoye	9	9	0	0	Palearctic	44.03	145.85	145.82	145.85	44.03	44.1	145.84	44.07	0	na	12
Sevan	7	3	4	2	Palearctic	40.36	45.35	44.9	45.94	39.94	40.64	45.42	40.29	na	na	4900
Severn.Can	36	36	0	0	Nearctic	56.06	-87.57	-95.78	-87.23	52.01	56.06	-91.51	54.04	0	389	104000
Severn.UK	46	25	21	0	Palearctic	51.79	-2.42	-3.75	-1	51.77	52.94	-2.38	52.36	0	305	11421
Shannon.Aus	10	10	0	0	Australian	-34.88	116.39	116.29	116.55	-34.88	-34.56	116.42	-34.72	0	233	450
Shannon.Ire	17	8	9	0	Palearctic	52.66	-8.69	-8.69	-7.25	52.54	54.27	-7.97	53.41	0	319	11700
Shatt.al.Arab	69	60	9	22	Palearctic	29.95	48.58	36.98	51.98	27.34	40.36	44.48	33.85	0	3009	970000
Shelekhova	5	5	0	0	Palearctic	50.38	155.63	155.62	155.78	50.33	50.38	155.7	50.36	0	na	18
Sherlock	9	9	0	0	Australian	-20.71	117.55	117.19	117.9	-21.44	-21.72	117.55	-21.58	0	180	11524
Shin	8	8	0	0	Palearctic	57.9	-4.36	-5.07	-4.36	57.81	58.31	-4.72	58.06	0	643	1909
Shoalhaven	28	21	7	0	Australian	-34.91	150.74	149.57	150.74	-36	-34.59	150.16	-35.3	0	400	7500
Shottegat	7	5	2	0	Neotropical	12.1	-68.94	-68.95	-68.85	12.1	12.13	-68.9	12.12	0	na	na
Sibun	39	39	0	0	Neotropical	17.42	-88.25	-88.78	-88.25	16.87	17.48	-88.52	17.18	0	700	600
Sico	19	19	0	0	Neotropical	15.94	-84.9	-86.24	-84.9	15	15.94	-85.57	15.47	0	777	6229
Sierpe	22	22	0	0	Neotropical	8.86	-83.49	-83.5	-83.26	8.71	8.87	-83.38	8.79	0	520	599
